Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Kenya,KEN,74.396,74.638,74.826,74.936,75.103,75.278,75.452,73.457,71.451,69.413,68.696,69.517,69.205,68.92,68.747
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Norway,NOR,66.794,66.87,66.761,66.405,65.932,65.722,64.869,64.528,65.068,65.545,64.787,66.132,67.511,66.105,65.646
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,South Africa,ZAF,48.048,49.138,48.975,48.878,48.749,49.987,49.461,49.357,48.868,47.787,44.298,42.416,43.538,45.234,44.392
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Spain,ESP,54.105,52.678,49.907,48.883,49.75,51.425,52.769,54.065,54.953,55.594,53.538,54.542,56.058,56.112,56.233
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sweden,SWE,61.645,62.323,61.873,62.1,62.047,62.247,62.542,63.062,63.383,63.312,62.137,62.123,63.534,63.233,62.48
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Belarus,BLR,64.068,64.561,64.992,65.279,65.496,65.638,65.782,66.332,67.689,67.714,67.932,67.805,68.349,67.875,67.43
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Argentina,ARG,40.5900049662423,40.4758223030244,40.7365007792398,40.6222954901307,40.7548590472828,40.949878735332,41.1544274598568,41.3536477921114,42.0493149154833,42.2633100586483,42.2659141441896,42.4041313742487,42.9402622703507,43.2479806527258,43.2536782258649
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Australia,AUS,45.3195651762421,45.5026695981224,45.6261911162689,45.7333917448342,45.919060822246,46.1133826979131,46.4203066906294,46.6097831437911,46.7744849814682,46.8990769548796,46.9709934784906,47.1749288751872,47.4388189017502,47.4234870415465,47.4466780116945
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brazil,BRA,42.4400401697802,42.085094445273,41.8908934119707,41.9291063161246,42.0324409270386,42.3754441598679,42.5375348108722,43.0557704870793,43.2677330746062,43.596293445255,42.5816100206282,43.0075756040014,43.4208190589127,43.3245861425663,43.3416278052626
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Canada,CAN,47.1025209491092,47.0131623248758,47.0744841260768,47.119866490403,46.997935322841,46.9006106075801,46.9985587796476,47.0217857561568,47.0882590354533,47.0977793387176,46.863798798098,47.0485134191502,47.3471212961886,47.3398705882745,47.3465203775683
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,China,CHN,44.3676802498121,44.4145571875523,44.4619314433437,44.5179668103247,44.5790200876779,44.6442298239507,44.7142723712696,44.7976656424844,44.8875840568371,44.9696835384367,44.928758127071,45.114320356218,45.0507108837416,45.0819446527757,45.1001705978381
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Germany,DEU,45.7755529719498,46.3331907686789,46.1102625156838,46.1824165824575,46.2597352645934,46.1974522433232,46.2396838705807,46.3157707458762,46.2119025162633,46.2845280945456,46.4249681089747,46.4180323865489,46.4924273526033,46.5519084540999,46.5458074966418
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,India,IND,25.2233059518446,24.7641376803459,24.3085528948494,24.2898081996864,24.3084533862227,24.366850772594,24.4420298851575,24.5278975830411,24.6072440721406,24.6708634419844,24.5059963511351,25.6511321916829,26.7455192903876,27.7822649651002,28.688859984676
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Iran, Islamic Rep.",IRN,17.5620370341192,16.4419887221238,17.5226126891494,15.9420742685652,15.6258393129144,16.840402677669,18.4319187948572,19.3094937723983,19.2301556757097,18.8039573063569,16.3443991786493,15.7144696717325,16.3081411299518,16.5381056285731,16.4963076902295
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Italy,ITA,41.0822400229497,41.3915710485199,41.9743394164792,42.1674136471022,42.3877782673441,42.0693157991689,42.2581173938512,42.4273872269036,42.4358417586601,42.5692434621648,42.2541882599736,42.4567789364276,42.5871899007398,42.730486349025,42.7471625908796
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Japan,JPN,41.7478334369055,41.7767904751961,41.8975673625217,42.3561062248985,42.5981258911193,42.7600285740469,43.0975667735446,43.4739153660068,43.8867336340833,44.2136193940921,44.1368438322446,44.3721839870396,44.6509599869779,44.9326623132591,45.1064236477515
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kenya,KEN,48.6024662170293,48.5732969603647,48.5491493186421,48.527574038497,48.5100936784017,48.4954063138548,48.4799332202258,47.9983657171572,47.4569211260433,46.8506281211453,46.8704801518723,47.019158752771,47.0898610735261,47.2066908867942,47.1905042239425
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Norway,NOR,47.8791170337849,47.918640331557,47.6978127890581,47.7564373099245,47.6656312501973,47.5172980406866,47.5347768402549,47.5920471202679,47.507795685183,47.3938436737388,47.4671163644943,46.8232898554815,46.6241997685755,47.172438806884,47.1739778562222
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,South Africa,ZAF,46.029649815975,46.8711717566607,46.5313800149782,46.6801480012041,46.420950327258,46.283332136332,46.188569993549,46.7052223881064,46.5623507993008,46.6269547139184,46.4274478942344,46.3305259577606,46.4303621677625,46.9377224270212,46.9689001589498
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Spain,ESP,44.3012746850849,44.8425808730637,45.4070552008946,45.6356340180562,45.8244507647723,45.9363241043124,46.0855900339472,46.1613885604662,46.1492504541112,46.3084655553717,46.2959433522474,46.770867364303,46.6733513433163,46.9448728434836,46.9838175989501
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Sweden,SWE,47.1475032574387,47.294695509605,47.4222469749494,47.4674108067144,47.4947355297684,47.6282715568101,47.5221826165909,47.4665304768724,47.4983096624344,47.4352661367012,47.1515158165803,47.2323542656069,47.167795771586,47.364341235668,47.3390965872294
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belarus,BLR,49.6676679506522,49.6896246748727,49.7118860969683,49.7088347148919,49.6941035021431,49.669591119501,49.6368393038471,49.4205195317684,49.0287915801357,49.3042422688498,49.1563339308891,49.3020810166928,49.1662134738109,49.1304402435175,49.1099131054992
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Argentina,ARG,38.5214007782101,37.3540856031128,37.3540856031128,36.5758754863813,36.5758754863813,..,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606,40.8560311284047,44.7470817120623,44.7470817120623,43.1906614785992,42.4124513618677
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Australia,AUS,24.6666666666667,24.6666666666667,24.6666666666667,26,26,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.4635761589404,30.4635761589404,31.1258278145695,38.4105960264901,38.4105960264901,38
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Brazil,BRA,8.57699805068226,8.57699805068226,8.57699805068226,8.57699805068226,9.94152046783626,9.94152046783626,9.94152046783626,10.7212475633528,15.009746588694,15.009746588694,14.6198830409357,15.2046783625731,17.7387914230019,17.5438596491228,17.5438596491228
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Canada,CAN,22.0779220779221,24.7557003257329,24.6753246753247,24.6753246753247,25.0814332247557,26.0355029585799,26.0355029585799,26.2686567164179,26.9461077844311,28.9940828402367,28.9940828402367,30.4733727810651,30.4733727810651,30.6547619047619,30.6547619047619
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,China,CHN,21.325744894543,21.3230355943586,21.3230355943586,23.40140609307,23.40140609307,23.6228455559311,23.6228455559311,24.2476060191518,24.8993288590604,24.9411764705882,24.9411764705882,24.9411764705882,24.9411764705882,26.5367819952973,26.5367819952973
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Germany,DEU,32.7974276527331,32.9032258064516,32.9032258064516,36.4500792393027,36.4500792393027,36.4500792393027,36.4500792393027,30.7475317348378,30.7475317348378,30.8885754583921,31.1706629055007,34.9184782608696,34.9184782608696,35.1902173913043,35.3260869565217
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,India,IND,10.8256880733945,11.0091743119266,11.0091743119266,11.0091743119266,11.4180478821363,11.9705340699816,11.9705340699816,11.8081180811808,11.8081180811808,14.3911439114391,14.3646408839779,14.4444444444444,14.9446494464945,15.2416356877323,13.6531365313653
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Iran, Islamic Rep.",IRN,2.75862068965517,2.75862068965517,3.10344827586207,3.10344827586207,3.10344827586207,3.10344827586207,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,5.59440559440559,5.59440559440559,5.59440559440559,5.59440559440559,4.82758620689655
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Italy,ITA,21.2698412698413,21.5873015873016,21.4285714285714,31.4285714285714,31.4285714285714,30.952380952381,30.952380952381,30.952380952381,35.7142857142857,35.7142857142857,35.7142857142857,35.7142857142857,32.25,32.25,32.25
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Japan,JPN,11.25,10.8333333333333,7.91666666666667,8.125,8.125,9.47368421052632,9.47368421052632,10.1075268817204,10.1075268817204,10.1075268817204,9.89247311827957,9.67741935483871,9.91379310344828,10.3448275862069,15.6989247311828
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kenya,KEN,9.82142857142857,9.82142857142857,9.82142857142857,18.5714285714286,19.1428571428571,19.7142857142857,19.7142857142857,21.7765042979943,21.7765042979943,21.7765042979943,21.7765042979943,21.6138328530259,23.4285714285714,23.2758620689655,23.2758620689655
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Norway,NOR,39.6449704142012,39.6449704142012,39.6449704142012,39.6449704142012,39.6449704142012,39.6449704142012,39.6449704142012,41.4201183431953,41.4201183431953,40.8284023668639,41.4201183431953,44.9704142011834,44.9704142011834,46.1538461538462,44.3786982248521
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,South Africa,ZAF,44.5,42.25,42.25,42.25,41.5,42,42,41.8367346938776,42.7480916030534,46.3476070528967,46.75,46.5822784810127,46.5,45.8646616541353,44.702842377261
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Spain,ESP,36.5714285714286,36,36,36,39.7142857142857,41.1428571428571,39.1428571428571,39.1428571428571,39.1428571428571,44,44,43.4285714285714,42.9799426934097,44.2857142857143,44.2857142857143
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Sweden,SWE,44.9856733524355,44.6991404011461,44.6991404011461,44.9856733524355,44.6991404011461,43.5530085959885,43.5530085959885,43.5530085959885,46.1318051575931,47.2779369627507,46.9914040114613,46.9914040114613,46.4183381088825,46.4183381088825,46.7048710601719
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Belarus,BLR,31.8181818181818,31.8181818181818,26.605504587156,26.605504587156,26.605504587156,27.2727272727273,34.5454545454545,34.5454545454545,34.5454545454545,40,40,40,40,40,33.6363636363636
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Argentina,ARG,73.314,73.98,73.258,72.851,72.007,71.478,70.948,70.414,70.466,70.981,65.925,70.836,71.453,71.944,71.797
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Australia,AUS,72.442,72.254,71.813,71.471,71.038,71.176,70.698,70.791,71.074,71.228,70.16,70.808,71.231,71.332,71.212
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Brazil,BRA,77.69,76.693,76.43,76.293,75.858,75.71,75.54,75.16,74.881,74.917,71.101,72.914,73.67,73.116,72.873
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Canada,CAN,71.756,71.704,71.534,71.405,70.977,70.942,70.526,70.637,70.246,70.476,68.927,69.863,69.547,69.693,69.56
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,China,CHN,78.089,77.908,77.345,76.785,76.352,75.881,75.33,74.65,73.954,73.384,71.92,72.919,71.587,71.596,71.113
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Germany,DEU,66.569,66.411,66.626,66.705,66.598,66.259,66.235,66.395,66.724,67.119,66.049,65.98,66.471,66.588,66.33
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,India,IND,79.669,79.231,78.797,78.614,78.366,78.047,77.701,77.34,76.972,76.604,75.693,75.964,76.332,76.775,77.084
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,"Iran, Islamic Rep.",IRN,68.452,66.703,67.75,68.04,67.874,68.629,69.296,70.274,70.615,70.431,68.192,68.214,67.241,66.781,66.329
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Italy,ITA,58.972,58.539,59.053,58.431,58.455,58.591,58.958,59.073,59.081,58.872,57.575,57.556,58.092,58.816,58.627
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Japan,JPN,71.491,71.085,70.666,70.395,70.342,70.209,70.365,70.437,71.084,71.316,71.352,71.269,71.356,71.461,71.588
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Kenya,KEN,76.4,76.577,76.754,76.93,77.105,77.28,77.454,76.003,74.487,72.904,72.09,72.376,72.013,71.638,71.394
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Norway,NOR,69.62,69.212,69.237,68.885,68.474,68.864,68.55,67.629,67.805,68.238,67.971,69.301,69.869,68.631,68.529
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,South Africa,ZAF,62.221,63.383,63.418,63.395,63.39,65.046,65.499,65.937,65.234,65.227,61.267,62.431,63.519,64.57,64.498
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Spain,ESP,67.269,66.72,66.176,65.708,65.121,64.916,64.455,64.109,63.698,63.507,62.168,62.739,63.189,62.815,62.406
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sweden,SWE,67.51,67.626,67.41,67.647,67.581,67.339,67.508,67.786,67.776,67.874,67.759,67.839,68.265,68.273,68.208
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Belarus,BLR,69.274,69.812,70.233,70.561,70.789,70.949,71.095,71.494,71.949,71.358,71.337,71.163,71.367,70.795,70.24
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,,,,,,
Last Updated: 10/10/2025,,,,,,,,,,,,,,,,,,
